TI,DO,pub_id
Clinical characteristics and presentation of ameloblastomas: An 8-year retrospective study of 240 cases in Eastern Nigeria,10.1016/j.bjoms.2015.08.264,26387072
"Ethnic and gender comparison of rugae patterns among clinical dental trainees in Ibadan, Nigeria",10.11604/pamj.2016.23.204.8584,27347293
"Knowledge and awareness of medical doctors, medical students and nurses about dentistry in Nigeria",10.11604/pamj.2016.23.172.7696,27303588
"Assessment of the sociodemographic characteristics and efficacy of screening for oral, head and neck potential malignant lesions in apparently healthy adults in Jos Nigeria",10.4103/0019-509X.197713,28071621
"Association between dental caries and body mass index in 12-15 year old private school children in Ibadan, Nigeria",10.1016/j.pdj.2015.12.001,Unknown
Evaluating the potential impact of a mobile telemedicine system on coordination of specialty care for patients with complicated oral lesions in Botswana,10.1093/jamia/ocv140,26510877
Paucity of HPV-related Head and Neck Cancers (HNC) in Nigeria,10.1371/journal.pone.0152828,27050815
"Barriers and facilitators of dental service utilization by children aged 8 to 11 years in Enugu State, Nigeria",10.1186/s12913-016-1341-6,26979531
"Magnitude of dental caries, missing and filled teeth in Malawi: National Oral Health Survey",10.1186/s12903-016-0190-3,26956884
Influence of the removable partial denture acrylic resin on oral health and quality of life,,27434918
Frequency and distribution of teeth treated by single- and multiple- visit root canal treatment in a Nigerian population by differently skilled operators,,Unknown
Periodontal status and its association with self-reported hypertension in non-medical staff in a university teaching hospital in Nigeria,,Unknown
Oral health knowledge and practices of dentists practicing in a teaching hospital in Nigeria,10.4103/0970-9290.183124,27237202
Prevalence and intensity of bacteraemia following orthodontic procedures,10.1016/j.ortho.2015.12.001,26897706
Pattern of traumatised anterior teeth among adult Nigerians and complications from late presentation,10.1186/s13104-016-1871-3,26852327
Digit sucking habit and association with dental caries and oral hygiene status of children aged 6 months to 12 years resident in semi-urban Nigeria,10.1371/journal.pone.0148322,26890262
Poor dental health resulting to dental infections among South Sudanese refugees,,Unknown
Dental Treatment Needs among Children and Adolescents Residing in an Ugandan Orphanage,10.17796/1053-4628-40.6.486,27805890
"Effect of referral for dental service on dental-service utilization by primary school children aged 8 to 11 years in Enugu, Nigeria",10.20396/bjos.v15i2.8648767,Unknown
Does social vulnerability for caries predict caries status of children in sub-urban Nigeria?,10.20396/bjos.v15i1.8647130,Unknown
Awareness of dental implants among dental patients in Nigeria,,Unknown
Caries and dental erosion: Are soroti children and adolescents at risk from increased soft-drink availability in Uganda?,10.4314/ahs.v16i4.9,28479885
Dental care risk management provided by social protection institutions of Senegal,10.4081/jphia.2015.564,28299147
"Risk factors of early childhood caries among children in Enugu, Nigeria",10.4034/PBOCI.2016.161.40,32503512
Pattern of utilisation of dental health care among HIV-positive adult Nigerians,10.3290/j.ohpd.a35302,26669657
Distinguishing the signals of gingivitis and periodontitis in supragingival plaque: A cross-sectional cohort study in Malawi,10.1128/AEM.01756-16,27520811
"Prevalence and distribution of oral health knowledge according to sociodemographic, behavioural and clinical characteristics in selected coastal districts of Tanzania",10.4314/thrb.v18i3.1,Unknown
"Community knowledge, attitude and practices (KAP) on fluorosis and its mitigation in endemic areas of Ethiopia",10.18697/ajfand.73.15480,Unknown
The pattern of traumatic dental injuries in children in a tertiary health care facility in Nigeria,,Unknown
"Prevalence of gingivitis and perception of gingival colour among pregnant women attending the antenatal clinic of Lagos University Teaching Hospital, Idi-Araba",10.4103/0975-8844.181930,Unknown
"Assessment of oral health promotion services offered as part of maternal and child health services in the Tshwane Health District, Pretoria, South Africa",10.4102/phcfm.v8i1.794,27247154
"The types, incidence and demographic distribution of benign oral and maxillofacial neoplasms among patients attending Muhimbili National hospital in Tanzania, 2008-2013",10.4314/thrb.v18i2.2,Unknown
Randomized Clinical Trial of Intraosseous Methylprednisolone Injection for Acute Pulpitis Pain,10.1016/j.joen.2015.09.003,26603771
Nutrient supplementation may adversely affect maternal oral health - a randomised controlled trial in rural Malawi,10.1111/mcn.12204,26194850
"Impact of dental caries and its treatment on the quality of life of 12- to 15-year-old adolescents in Benin, Nigeria",10.1111/ipd.12162,25864531
Comparative periodontal status of human immunodeficiency virus-positive patients and controls in a dedicated human immunodeficiency virus clinic in Nigeria,10.4103/1119-3077.164330,26755216
"Prevalence and factors associated with dental anxiety among primary school teachers in Ngara district, Tanzania",10.4314/thrb.v18i1.6,Unknown
Association between periodontal diseases and systemic illnesses: A survey among internal medicine residents in Nigeria,10.1016/j.sdentj.2015.03.005,26792966
Paediatricians' perception about oral healthcare of children in Nigeria,10.1186/s12903-015-0151-2,26693936
"Oral health in nursing students at Kilimanjaro Christian Medical Centre teaching hospital in Moshi, Tanzania",10.1186/s12903-015-0008-8,25881237
"Prevalence, and early childhood caries risk indicators in preschool children in suburban Nigeria",10.1186/s12903-015-0058-y,26123713
"Co-morbidities associated with molar-incisor hypomineralisation in 8 to 16 year old pupils in Ile-Ife, Nigeria",10.1186/s12903-015-0017-7,25887347
"Oral health trends and service utilization at a rural outreach dental clinic, Udo, Southern Nigeria",10.4103/2231-0762.172951,26942115
Prevalence and unmet treatment need of traumatized incisor among Cameroonian schoolchildren in North West Province,,26939219
"Gingival displacement techniques in daily practice. Survey among dental surgeons in Abidjan, Ivory Coast",,26939218
Correlation between sagittal photogrammetric measurements of the soft tissue profile and dental arches measurements,10.1051/orthodfr/2015029,26655417
Tooth decay: epidemiological and therapeutic aspects in dental service of University Teaching Hospital Yalgado Ouedraogo and Municipal Centre of Oral Health,,26939221
Prevalence and factors associated with dental caries among children and adults in selected districts in Uganda,10.4314/ahs.v15i4.33,26958035
Stroke and periodontal disease in Senegal: Case-control study,10.1016/j.puhe.2015.02.033,25869534
Prevalence and geographic distribution of edentulism among older Ghanaians,10.1111/jphd.12075,25284642
"Recommendations for fluoride limits in drinking water based on estimated daily fluoride intake in the Upper East Region, Ghana",10.1016/j.scitotenv.2015.05.126,26058000
"Antimicrobial susceptibility pattern of oral microbial isolates among pregnant women in Ibadan South-East local government area, Nigeria",,Unknown
The care of traumatic dental injuries in primary schools in Southern Nigeria,,26418921
"A prospective epidemiological study on odontogenic tumours in a black African population, with emphasis on the relative frequency of ameloblastoma",10.1016/j.ijom.2015.03.018,25937364
Gingival health and oral hygiene practices of schoolchildren in the North West Region of Cameroon,10.1186/s13104-015-1350-2,26318868
Early childhood caries amongst pre-school children and their caregivers’ perceptions of oral health in a Kenyan rural setting,,Unknown
Viability in delivering oral health promotion activities within the Health Promoting Schools Initiative in KwaZulu-Natal,10.7196/SAJCH.7944,Unknown
Temporomandibular joint ankylosis caused by condylar fractures: A retrospective analysis of cases at an urban teaching hospital in Nigeria,10.1016/j.ijom.2015.05.003,26008733
Determinants of Oral Diseases in the African and Middle East Region,10.1177/0022034515581645,26101337
Impact of Oral Health on The Quality of Life of Elementary School Teachers,10.4314/ejhs.v25i3.4,26633924
"The relative patient costs and availability of dental services, materials and equipment in public oral care facilities in Tanzania",10.1186/s12903-015-0061-3,26126654
Effect of a school-based oral health education programme on use of recommended oral self-care for reducing the risk of caries by children in Nigeria,10.1111/ipd.12143,25413008
Management of salivary gland tumors in a Nigerian tertiary institution,10.4103/1596-3519.152071,26021396
The prevalence of early childhood caries and its associated risk factors among preschool children referred to a tertiary care institution,10.4103/1119-3077.156887,25966721
The prevalence and pattern of deciduous molar hypomineralization and molar-incisor hypomineralization in children from a suburban population in Nigeria,10.1186/s12903-015-0059-x,26121979
Assessment of pain among a group of Nigerian dental patients Oral Health,10.1186/s13104-015-1226-5,26087661
"Prevalence, pattern and severity of molar incisor hypomineralisation in 8- to 10-year-old school children in Ile-Ife, Nigeria",10.1007/s40368-015-0175-y,25788171
Management of Extra-Capsular Temporo-Mandibular Joint Ankylosis: Does Conservative Approach to Treatment Have a Role?,10.1007/s12663-014-0625-9,26028856
Ameloblastomatous Change in Radicular Cyst of The Jaw in a Nigerian Population,10.4314/gmj.v49i2.8,26339095
Analysis of Nigerian dentists' opinion and consequences on expanded function dental auxiliaries,,26934771
Oral health status of diabetes mellitus patients in Southwest Cameroon,,26934773
"Malocclusion and orthodontic treatment need of patients attending the Lagos University Teaching Hospital, Lagos, Nigeria",,26934769
Prevalence of dental caries in school in the city of Ouidah in 2013,,26934768
Impact of the edentulousness on the quality of life related to the oral health of the Congolese,,Unknown
"Oral health care experiences of people living with HIV in Kwazulu-Natal and Western Cape, South Africa",10.1108/IJHRH-11-2013-0046,Unknown
"Paediatric dental chair sedation: An audit of current practice in Gauteng, South Africa",10.7196/samj.8788,26716163
"Herpes labialis and Nigerian dental health care providers: Knowledge, attitudes, behaviors, and refusal to treat",10.1186/s12913-015-1023-9,26373396
Inflammatory morbidity due to compound mandibular body fractures: Does it have a relationship with treatment outcome?,10.1159/000376581,25791420
"Oral health effects, brushing habits and management of methamphetamine users for the general dental practitioner",10.1038/sj.bdj.2015.341,25952435
"Development of oral health policy in Nigeria: An analysis of the role of context, actors and policy process",10.1186/s12903-015-0040-8,25943102
Effect of breastfeeding promotion on early childhood caries and breastfeeding duration among 5 year old children in Eastern Uganda: A cluster randomized trial,10.1371/journal.pone.0125352,25938681
A 5-year retrospective study of rampant dental caries among adult patients in a Nigerian Teaching Hospital,10.4103/0970-9290.162885,26275193
Paediatric and adolescent intra-bony oro-facial tumours and allied lesions in a Nigeria tertiary health facility: An 18-year retrospective analysis,10.1016/j.ajoms.2014.10.008,Unknown
Integrating Oral Health with Non-Communicable Diseases as an Essential Component of General Health: WHO's Strategic Orientation for the African Region,10.1002/j.0022-0337.2015.79.5suppl.tb05926.x,Unknown
A retrospective study of 21 cases of malignant odontogenic tumours from two tertiary health centres in Nigeria,10.11604/pamj.2015.20.371.6611,26185562
Edentulism and quality of life among older Ghanaian adults,10.1186/s12903-015-0034-6,25886750
Salivary Flow Rates of Nigerian Patients with Chronic Kidney Disease: A Case-control Study,10.5005/jp-journals-10024-1673,26067727
"Utilization of Oral Health Care Services by University Undergraduates in Lagos, Nigeria",,27295829
Medically compromised conditions among Dental patients: A prospective study of the attitude of patients toward medication and medical recall visits,,27295833
Oral and dental lesions in HIV infected nigerian children,10.11604/pamj.2015.20.287.5273,26161210
Teething myths among nursing mothers in North-Western Nigeria,10.4103/0975-2870.153139,Unknown
"Dental caries prevalence and bilateral occurrence in premolars and molars of adolescent school children in Ibadan, Nigeria",,26058310
Occlusal characteristics of children with hypertrophied adenoids in Nigeria,10.1016/j.ortho.2014.12.009,25665907
Evaluation of the scope and practice of oral and maxillofacial surgery in Nigeria,10.4103/1119-3077.151068,25666008
Orofacial cleft outreach in rural Ghana: any positive impact on the community?,10.1007/s00238-014-1025-6,Unknown
"Oral health and HIV infection among female sex workers in Abidjan, Côte d'Ivoire",10.1186/s12903-015-0129-0,26631015
"Topographic pattern distribution of head and neck squamous cell carcinoma in Benin-City, Nigeria: How common are these lesions?",,Unknown
"Distinguishing predisposing factors for enamel hypoplasia and molar-incisor hypomineralization in children in Ile-Ife, Nigeria",10.1590/1677-3225v14n4a12,Unknown
Association between maternal dental periapical infections and pregnancy outcomes: results from a cross-sectional study in Malawi,10.1111/tmi.12579,26224026
"Dental visit behaviour among primary school children in Port Harcourt, Nigeria",,Unknown
Application of behavior management techniques for paediatric dental patients by Tanzanian dental practitioners,10.2174/1874210601509010455,26962374
Pattern and trend of non-odontogenic orofacial pain at a tertiary health facility in Sub Saharan West Africa,10.5604/00114553.1144374,34759258
Subjective assessment of lingual bar and plate as major connectors in removable partial dentures,10.5604/00114553.1156241,34759258
"Pattern and indications for adult permanent teeth extractions in Zamfara state, Northwest Nigeria",10.5604/00114553.1156240,34759258
"Oral Health Status of the Elderly at Tonga, West Region, Cameroon",10.1155/2015/820416,26633972
Type and prevalence of oral lesions seen in a teaching hospital,,Unknown
Ethnomedicinal Plants Used by Traditional Healers to Treat Oral Health Problems in Cameroon,10.1155/2015/649832,26495020
"Periodontal status and treatment need among adolescents in Ibadan, Southwestern Nigeria",10.1590/1677-3225v14n2a04,Unknown
Another reason for impeccable oral hygiene: Oral hygiene-sperm count link,10.5005/jp-journals-10024-1542,25307820
Root canal treatment and prevalence of apical periodontitis in a Nigerian adult subpopulation: A radiographic study,10.3290/j.ohpd.a31661,24624387
Comparison of two oral health-related quality of life measures among adult dental patients,10.3290/j.ohpd.a33089,25431803
Diseases and conditions falsely linked with “nylon teeth” myth: a cross sectional study of Tanzanian adults,10.4314/thrb.v17i2.7,Unknown
Nigerian Dental Students’ Assessment of their Clinical Learning,,31765048
Prevalence of artificially created maxillary midline diastema and its complications in a selected Nigerian population,10.4314/ahs.v15i1.29,25834552
"Factors influencing awareness and attendance of traditional oral health care practices by residents of a peri-urban community in Ibadan, Nigeria",10.4314/ahs.v15i1.30,25834553
Use of simulators in operative dental education: Experience in southern Nigeria,10.4314/ahs.v15i1.35,25834558
"Characteristics of pyogenic odontogenic infection in patients attending Mulago Hospital, Uganda: A cross-sectional study",10.1186/s12866-015-0382-z,25881243
Pattern of head and neck cancers among patients attending muhimbili national hospital tanzania,10.4314/thrb.v17i1.4,Unknown
Impact of an educational intervention on smoking counseling practice among Nigerian dentists and dental students,10.4103/1119-3077.146983,25511348
The 5-year prevalence of maxillofacial fibro-osseous lesions in Uganda,10.1111/odi.12233,24605931
Oral diseases and socio-demographic factors in adolescents living in Maasai population areas of Tanzania: A cross-sectional study,10.1186/s12903-018-0664-6,30514291
Prevalence and reasons for extraction of endodontically treated teeth in adult Nigerians,10.5005/jp-journals-10024-2451,Unknown
Labial lesions by human bite,10.1051/mbcb/2018017,Unknown
Permanent tooth emergence: Timing and sequence in a sample of Black Southern African children,10.1002/ajpa.23714,30281775
"Oral health status of pregnant women in Ilorin, Nigeria",10.1080/01443615.2018.1454410,30207492
Odontogenic Tumours in Nigeria: A multicentre study of 582 cases and review of the literature,10.4317/medoral.22473,30341260
Biological profile of ameloblastoma and its location in the jaw in 1246 Nigerians,10.1016/j.oooo.2018.06.014,30126803
Prevalence and impact of infant oral mutilation on dental occlusion and oral health-related quality of life among Kenyan adolescents from Maasai Mara,10.1186/s12903-018-0631-2,30355318
"The Oral health status of children with autism Spectrum disorder in KwaZulu-Nata, South Africa",10.1186/s12903-018-0632-1,30314501
Effect of health education primaryinterventionon oral healthhealthconductedknowledgecare workersbyand lagospracticesstateof nursing mothers in,10.4081/jphia.2018.833,30687479
Evaluation of oral hygiene services zambiafacilitiesin selectedin lusakapublicdistricthealthof,10.4081/jphia.2018.820,30687478
"Dental caries and oral hygiene status: Survey of schoolchildren in rural communities, Southwest Nigeria",10.4103/npmj.npmj_138_18,30588945
Review of 109 cases of primary malignant orofacial lesions seen at a Nigerian Tertiary Hospital,10.4103/npmj.npmj_115_18,30588946
Developmental defects of the enamel and its impact on the oral health quality of life of children resident in Southwest Nigeria,10.1186/s12903-018-0622-3,30261858
Misconceptions and traditional practices towards infant teething symptoms among mothers in Southwest Ethiopia,10.1186/s12903-018-0619-y,30241521
Diagnosis of newly delivered mothers for periodontitis with a novel oral-rinse aMMP-8 point-of-care test in a rural Malawian population,10.3390/diagnostics8030067,30223547
Gaps in oral health-care service provision systems for children in Nigeria: A case study of a tertiary health institution,10.4103/ijdr.IJDR_734_16,30409943
Oral health–related quality of life of children born with orofacial clefts in Ethiopia and their parents,10.1177/1055665618760619,29561719
Patients’ willingness to pay for dental services in a population with limited restorative services,10.1922/CDH_4227Nyamuryekunge06,30106521
The association between periodontal disease and adverse pregnancy outcomes in Northern Tanzania: A cross-sectional study,10.4314/ahs.v18i3.18,30602993
Evaluation of early changes in oral health-related quality of life amongst Nigerian patients undergoing fixed orthodontic appliance therapy,10.1016/j.ortho.2018.06.003,30030000
Estimating age and the probability of being at least 18 years of age using third molars: a comparison between Black and White individuals living in South Africa,10.1007/s00414-018-1877-6,29948162
Agony resulting from cultural practices of canine bud extraction among children under five years in selected slums of Makindye: A cross sectional study,10.1186/s12903-018-0599-y,30086761
"Roles of community pharmacists in improving oral health awareness in Plateau State, Northern Nigeria",10.1111/idj.12383,29446064
"Early childhood caries and dental treatment need in low socio-economic communities in cape town, South Africa",10.4102/hsag.v23i0.1039,31934368
Assessment of prevalence of dental caries and the associated factors among patients attending dental clinic in Debre Tabor general hospital: A hospital-based cross-sectional study,10.1186/s12903-018-0581-8,29973262
Prevalence of bruxism and temporomandibular disorders among orphans in southeast Uganda: A gender and age comparison,10.1080/08869634.2017.1331784,28555521
Oropharyngeal HPV infection: prevalence and sampling methods among HIV-infected men in South Africa,10.1177/0956462418755882,29471764
Periapical infection may affect birth outcomes via systemic inflammation,10.1111/odi.12817,29230915
Clinical experience in managing temporomandibular joint ankylosis: Five-year appraisal in a Nigerian subpopulation,10.5125/jkaoms.2018.44.3.112,29963492
Pattern of endodontic treatment among Nigerian adults: A single centre study,10.4034/PBOCI.2018.181.71,Unknown
"A 5-year audit of major maxillofacial surgeries at Usmanu Danfodiyo university teaching hospital, Nigeria",10.1186/s12913-018-3236-1,29879975
"Association of elevated c-reactive protein with severe periodontitis in hypertensive patients in Lagos, Nigeria: A pilot study",10.4103/ccd.ccd_104_18,29962772
Impact of oral hygiene and socio-demographic factors on dental caries in a suburban population in Nigeria,10.1007/s40368-018-0342-z,29761342
Association between periodontal diseases and cardiovascular diseases in Cameroon,10.4081/jphia.2018.761,30079167
Screening Children for Caries: An Ethical Dilemma in Nigeria,10.1080/20502877.2018.1448251,29533155
"Association of early childhood caries experience with oral hygiene status and oral health practices of preschool children in Tandale, Tanzania",,Unknown
Dental maturity and determination of the chronological age at the Ivorians girls,10.1016/j.medleg.2017.07.002,Unknown
"Sterilization in endodontics: Knowledge, attitude, and practice of dental assistants in training in Nigeria-A cross-sectional study",10.4103/sej.sej_52_17,Unknown
"Appointment failure among dental patients attending a government dental centre in Enugu, Nigeria",10.4034/PBOCI.2018.181.56,Unknown
"General anxiety, dental anxiety, digit sucking, caries and oral hygiene status of children resident in a semi-urban population in Nigeria",10.1186/s12903-018-0529-z,29678182
Comparison of the incidence of flare-up and time efficiency in single visit root canal treatment employing either rotary or manual step-back canal preparatory technique,10.4103/npmj.npmj_8_18,30027921
"Prevalence, severity, and request for treatment of dental fluorosis among adults in an endemic region of Northern Nigeria",10.4103/ejd.ejd_260_17,29988248
Effects of nutrition and hygiene education on oral health and growth among toddlers in rural Uganda: follow-up of a cluster-randomised controlled trial,10.1111/tmi.13036,29381827
"Pattern of patients’ attendance to the dental clinic of federal college of dental technology and therapy, Enugu, Nigeria",10.11604/pamj.2018.29.151.14563,30050615
Treatment of complications following orofacial gangrenous infection in a resource limited setting: Experiences and a proposed classification,10.21608/ejentas.2018.3302.1009,Unknown
Seasonal Variation of Orofacial Clefts,10.1097/SCS.0000000000004226,29215449
A study on shotgun injuries to the craniomaxillofacial Region in a Nigerian Tertiary Health Center,10.4103/njcp.njcp_315_17,29519986
Effects of nonsurgical periodontal treatment on glycated haemoglobin on type 2 diabetes patients (PARODIA 1 study): A randomized controlled trial in a sub-Saharan Africa population,10.1186/s12903-018-0479-5,29482543
Prevalence and extent of enamel defects in the permanent teeth of 8-year-old Nigerian children,10.1111/cdoe.12328,28895192
"Occurrence of dental alveolus traumas at the university clinics of Kinshasa: Second part, preliminary study of 93 cases",10.11604/pamj.2018.29.50.13763,29875931
Attitudes towards tooth fillings in Tanzanian adults and its association with previous filling experience,10.1186/s12903-018-0474-x,29347931
Current status of nylon teeth myth in Tanzania: A cross sectional study,10.1186/s12903-017-0462-6,29321014
Oral hygiene practices of doctors in a tertiary hospital in North-West Nigeria,10.4103/MJDRDYPU.MJDRDYPU_107_17,Unknown
Prevalence of malocclusion in Rwandan people in a hospital-based study,,Unknown
Awareness and perceived need of Nigerians on the restorative treatment for a defective tooth: A school survey,,Unknown
"Knowledge and practices on periodontal health among adults, Misungwi, Tanzania",10.1155/2018/7189402,30515213
Prevalence of HIV related oral lesions in people living with HIV and on combined antiretroviral therapy: A Nigerian experience,10.11604/pamj.2018.31.180.13574,31086631
"A preliminary assessment of endodontic difficulty encountered at a tertiary health center in Lagos, Nigeria",10.4103/jioh.jioh_200_18,33109829
A thirteen-year retrospective analysis of 179 odontogenic tumours in a Nigerian tertiary healthcare facility,10.7727/wimj.2015.375,23952457
Non-clinical factors and predictors of self-rating of oral health among young adolescents in a rural Nigerian population,10.20396/BJOS.V17I0.8651895,Unknown
Halitosis: Multidisciplinary diagnostic and therapeutic approaches,10.11604/pamj.2018.30.201.10951,30574220
"Knowledge of Periodontal Diseases, Oral Hygiene Practices, and Self-Reported Periodontal Problems among Pregnant Women and Postnatal Mothers Attending Reproductive and Child Health Clinics in Rural Zambia",10.1155/2018/9782092,30158980
Time expended on managing molar incisor hypomineralization in a pediatric dental clinic in Nigeria,10.1590/1807-3107BOR-2018.VOL32.0079,30088552
Cone beam computed tomography assessment of the buccal bone thickness in anterior maxillary teeth: Relevance to immediate implant placement,10.11607/jomi.6274,30025005
"Impact of Malocclusions on the Oral Health-Related Quality of Life of Early Adolescents in Ndola, Zambia",10.1155/2018/7920973,29971109
Building oral health research infrastructure: the first national oral health survey of Rwanda,10.1080/16549716.2018.1477249,29860930
Clinical and microbial presentations of ludwig angina in the volta regional hospital Ho Ghana,,Unknown
"Oral hygiene: Knowledge and practices of students in three quranic schools in Koutiala, Mali",10.4034/PBOCI.2018.181.53,Unknown
Relationship between Angular Measurements and Facial Shape of Young Ivorians with Normal Dental Occlusion,10.1155/2018/6395910,29681778
"Making a Case for Formal School-Based Oral Health Promotion: Oral Health Knowledge, Attitude and Practices of Pupils in Ibadan, Nigeria",10.1177/0272684X17749574,29258388
Perceived and normative needs of facial cleft patients seen in Nigeria,10.4034/PBOCI.2018.181.13,Unknown
"Caries-Preventive Effect of Salt Fluoridation in Preschool Children in the Gambia: A Prospective, Controlled, Interventional Study",10.1159/000479892,29136625
Perinatal HIV Infection and Exposure and Their Association with Dental Caries in Nigerian Children,10.1097/INF.0000000000001702,28746260
Prevalence of dental caries and associated factors among 12 years old students in Eritrea,10.1186/s12903-017-0465-3,29284471
Assessing causal effects of early life-course factors on early childhood caries in 5-year-old Ugandan children using directed acyclic graphs (DAGs): A prospective cohort study,10.1111/cdoe.12314,28631283
A short report on tooth replacement in an older suburban population in Nigeria,10.1111/ger.12303,28929520
A simple point of care test can indicate the need for periodontal therapy to reduce the risk for adverse pregnancy outcomes in mothers attending antenatal clinics,10.1080/1354750X.2017.1334151,28562097
Common oral conditions and correlates: An oral health survey in Kwara State Nigeria,10.1186/s13104-017-2894-0,29115979
Management of cleft lip and palate in Nigeria: A survey,10.4103/njcp.njcp_314_16,29303120
"Self-reported knowledge, attitude and consumption of sugar-sweetened beverages among undergraduate oral health students at a university in South Africa",10.4103/jispcd.JISPCD_306_17,29285468
An epidemiological study of 270 cases of carcinomas of the head and neck region in a Nigerian tertiary health care facility,10.1016/j.ejenta.2017.11.003,Unknown
Antibiotic-prescribing patterns of South African dental practitioners following tooth extractions,10.1111/jicd.12247,27778471
Endodontic treatment-related antibiotic prescribing patterns of South African oral health professionals,10.1111/iej.12731,27977869
Can undergraduate student learning in prevention influence oral health self-care practices? – a report from a South African University,10.1111/idh.12235,27313084
Dental age estimation in a group of Kenyan children using Willems’ method: a radiographic study,10.1080/03014460.2017.1371794,28891350
Patterns of drugs prescribed for dental outpatients in Nigeria: findings and implications,10.1080/00016357.2017.1347822,28693407
Perception and Practices of Nomadic Women in a Rural Community in Southwestern Nigeria to Their Children’s Oral Health,10.1177/0272684X17749562,29277139
Pattern of maxillofacial surgical conditions in North Central Nigeria: A 5-year experience of an indigenous surgical mission,10.4103/njcp.njcp_404_16,29192633
"Knowledge, diagnosis and management of dentine hypersensitivity: a national survey of dentists in Nigeria",10.1111/idj.12302,28542892
Pattern of distribution of odontogenic tumours in sub-Saharan Africa,10.1111/idj.12301,28485021
Prevalence of hyperglycemia and risk factors for orodental disease in Nigeria: Implications of opportunistic screening,10.4103/ijdr.IJDR_304_17,29072212
"Knowledge of community pharmacists regarding oral health care in Plateau State, Northern Nigeria",10.4103/jioh.jioh_184_17,Unknown
Oesophageal squamous cell cancer in a South African tertiary hospital: A risk factor and presentation analysis,,Unknown
Two years retrospective study of maxillofacial trauma at a tertiary center in North West Ethiopia,10.1186/s13104-017-2670-1,28789668
A survey of endodontic practices among dentists in Burkina Faso,10.5005/jp-journals-10024-2099,28816182
"Oral and maxillofacial tumours in children and adolescents: Clinicopathologic audit of 75 cases in an academic medical centre, Sokoto, Northwest Nigeria",10.4103/ajps.AJPS_81_16,29557349
Parturients' Awareness and Perception of Benefits of Breast Feeding in the Prevention of Infant and Childhood Oral and Dental Diseases,,28955104
A review of 640 Oral squamous cell carcinoma cases in Nigeria,10.4317/jced.53680,28638553
A comparative study of intermaxillary fixation screws and noncompression miniplates in the treatment of mandibular fractures: a prospective clinical study,10.1007/s10006-017-0622-5,28386782
High prevalence of dental caries among HIV-infected children in West Africa compared to uninfected siblings,10.1111/jphd.12203,28233316
"Tooth loss among the elders in an inner city area of Ibadan, Nigeria",10.1111/ger.12263,28211095
Further evidence for periodontal disease as a risk indicator for adverse pregnancy outcomes,10.1111/idj.12274,27988930
Maxillectomy and its surgical indications in a tertiary health care centre in north-western Nigeria: Analysis of 66 cases,10.1016/j.ajoms.2016.11.007,Unknown
The impact of oral health on daily performances and its association with clinical variables in a population in Zambia,10.1111/idh.12171,26283168
Association between family structure and oral health of children with mixed dentition in suburban Nigeria,10.4103/0970-4388.206034,28492192
Prevention of alveolar osteitis after third molar surgery: Comparative study of the effect of warm saline and chlorhexidine mouth rinses,10.4103/1119-3077.180064,28406129
Congenital malformations and medical conditions associated with orofacial clefts in children in Burkina Faso,10.1186/s12887-017-0833-9,28292285
"The promotion of oral health in health-promoting schools in Kwazulu-Natal Province, South Africa",10.7196/SAJCH.2017.v11i1.1132,Unknown
Oral health in transition: The Hadza foragers of Tanzania,10.1371/journal.pone.0172197,28296885
An analysis of dental intercanine distance for use in court cases involving bite marks.,10.1007/s00414-016-1510-5,27924405
Odontogenic tumors in Ethiopia: Eight years retrospective study,10.1186/s12903-017-0347-8,28209160
Cysts of the oro-facial region: A clinico-pathologic review of 403 nigerian cases,,Unknown
Oral manifestations and their correlation to baseline CD4 count of HIV/AIDS patients in Ghana,10.5125/jkaoms.2017.43.1.29,28280707
"A two-year retrospective study on the pattern of dental trauma and its etiology, Northwest Ethiopia",10.1353/hpu.2017.0018,28238997
Third molar impaction and agenesis: influence on anterior crowding,10.3109/03014460.2016.1151549,26856343
"Self-reported dental pain and dental caries among 8-12-year-old school children: An exploratory survey in Lagos, Nigeria",10.4103/npmj.npmj_7_17,28492208
"Acute necrotising gingivitis in young children from villages with and without noma in Niger and its association with sociodemographic factors, nutritional status and oral hygiene practices: Results of a population-based survey",10.1136/bmjgh-2016-000253,29082004
Tooth reattachment: Knowledge and practice of Nigerian dentists in postgraduate training,10.5604/01.3001.0010.7738,Unknown
A multi-centre evaluation of oral cancer in southern and Western Nigeria: An African oral pathology research consortium initiative,10.11604/pamj.2017.28.64.13089,29599879
Dental caries experience and treatment needs of an adult female population in Nigeria,10.4314/ahs.v17i3.34,29085419
Tooth extraction: Pattern and etiology from extreme Northwestern Nigeria,10.4103/ejd.ejd_160_17,28932143
"Epidemiological profile of patients utilising public oral health services in Limpopo province, South Africa",10.4102/phcfm.v9i1.1206,28828870
Teething: Misconceptions and unhealthy practices among residents of a rural community in Nigeria,10.1177/0272684X17701262,28511599
Prevalence and pattern of mandibular third molar impaction in eritrean population: A retrospective study,10.5005/jp-journals-10024-1998,28174361
"Prevalence of malocclusion and its associated factors among preschoolchildren in Kinondoni and Temeke Districts, Tanzania",10.4314/thrb.v19i2.7,Unknown
Dental emergencies in Burkina Faso armed forces,10.17219/dmp/67315,Unknown
